айғолаҡ,ɑ j ɣ o l ɑ q,
арыҫлан,ɑ r ɤ θ l ɑ n,
ахырызаман,ɑ x ɤ r ɤ z ɑ m ɑ n,
баҡтиһәң,b ɑ q t ɘ j h a ŋ,
боҙ,b o ð,
выждан,w ɤ ʒ d ɑ n,
квартал,k v ɑ r t ɑ l,
йүгән,j y ɡ a n,
йѳҙ,j ɵ ð,
етди,j ɘ t d ɘ j,
опто,o p t o,
насар,n ɑ s ɑ r,
суфыйсылыҡ,s u f ɤ j s ɤ l ɤ q,
тәсбих,t a s b ɘ j x,
социаль,s o ts ɘ j ɑ l,
юҡ,j u q,
алъяпҡыс,ɑ l j ɑ p q ɤ s,
иғлан,i ɣ l ɑ n,
ике,i k ɘ,
ылғый,ɤ l ɣ ɤ j,
элек,ɘ l ɘ k,
аждаһа,ɑ ʒ d ɑ h ɑ,
процестең,p r o ts ɘ s t ɘ ŋ,
зар,z ɑ r,
чан,tʃ ɑ n,
ёлка,j o l k ɑ,
щи,ʃ tʃ ɘ j,
маъмай,m ɑ ʔ m ɑ j,
тәьсир,t a ʔ s ɘ j r,
өҫтәрәк,ɵ θ t a r a k,
ҡушыла,q u ʃ ɤ l ɑ,